Model,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,ROC_AUC,Train_time_sec,Predict_time_sec,FP,FN,FPR,FNR
RandomForest_thresh@0.53,0.8904921537190885,0.9081110673564143,0.880278340459934,0.8863903634122783,0.8885749783979816,0.983868564894198,120.09182906150818,1.3464434146881104,8164,852,0.22064864864864864,0.01879467043148328
RandomForest,0.8806053539328572,0.903313522569556,0.868789036323008,0.875384549038049,0.8779658299770201,0.983868564894198,120.09182906150818,1.3464434146881104,9175,655,0.24797297297297297,0.014448954381011207
ExtraTrees,0.8636131759218773,0.8909858362264877,0.8501419437614619,0.8567325541399131,0.8599099271204221,0.9726001708714804,740.192168712616,2.420315742492676,10470,759,0.28297297297297297,0.016743139504103062
SGD_LogLoss,0.8162318418112035,0.8441646134970917,0.8007043136403853,0.805541692046444,0.8101557786523276,0.9538256985698308,0.7287788391113281,0.010074853897094727,13051,2079,0.3527297297297297,0.04586164298949969
LinearSVC,0.8130981878249041,0.8624071998046708,0.7935766095664181,0.7980216781635756,0.8036061664048039,0.9541388065467744,12.310273885726929,0.01188039779663086,14775,613,0.3993243243243243,0.013522456542839496
LogReg_saga,0.8076689501044552,0.8491113354750985,0.7891480405226545,0.7933916722774452,0.7988880581229679,0.9548213677588291,272.85810375213623,0.006448268890380859,14573,1262,0.3938648648648649,0.027839054089826173
